Time (s),Root Detector ID,Vehicle ID,Vehicle Type,Speed (m/s),Direction,CO2 Emission (mg)
140.0,42445020_42445018_1136391284#1,veh_614,car_cautious,8.68828360117972,Down,6000.447934963886
140.0,42445916_42437358_reverse_-1272613981#1,veh_1030,car_normal,12.467672793869882,Down,2846.6438363431075
140.0,42445916_42437358_reverse_-1272613981#1,veh_923,car_cautious,11.221236256721705,Down,1593.7369500360303
141.0,42428297_42439984_682360554#1,veh_783,car_normal,9.083829061687835,Down,4960.961741927842
141.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.517069831885546,Left,2022.1881163273358
141.0,42428308_42440001_420908137#0,veh_842,truck_cautious,4.854121066220105,Right,18322.389416977585
141.0,42430333_42430338_127693103#1,veh_1526,car_cautious,25.993968091402202,Up,3720.06753801495
141.0,42430347_42434072_46522000#1,veh_626,car_cautious,26.906128591988235,Right,9566.812599847053
141.0,42430371_42450426_46521993#2,veh_117,car_aggressive,13.969608607180419,Right,10348.0645482764
141.0,42430375_42440020_499172074#1,veh_137,truck_normal,13.65966680319138,Left,0.0
141.0,42435677_42445020_452322756#5,veh_41693,truck_cautious,4.242101930603385,Left,15258.513000804616
141.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,13.105333586265374,Left,11716.43246722323
141.0,42437358_42445916_reverse_-1272613981#1,veh_1030,car_normal,11.728671634825899,Right,0.0
141.0,42437358_42445916_reverse_-1272613981#1,veh_923,car_cautious,10.672138610302746,Right,0.0
141.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,13.254054693496139,Left,20112.809096862
141.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.020157682094289017,Down,2620.211208325914
141.0,42440453_42440452_569345535#0,veh_1499,car_normal,12.975121605906905,Left,3695.2323982323005
141.0,42445020_42445018_1136391284#1,veh_614,car_cautious,10.557983445618301,Down,7275.499108351387
141.0,42445916_42437358_reverse_-1272613981#1,veh_1030,car_normal,11.728671634825899,Down,0.0
141.0,42445916_42437358_reverse_-1272613981#1,veh_923,car_cautious,10.672138610302746,Down,0.0
142.0,42428297_42439984_682360554#1,veh_783,car_normal,10.02626798404465,Left,4576.020621949059
142.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.744177364375592,Left,2878.8797940658146
142.0,42428308_42440001_420908137#0,veh_842,truck_cautious,5.629705479964614,Right,18704.13782629108
142.0,42430338_42430342_127693103#4,veh_1526,car_cautious,23.81549033317716,Up,0.0
142.0,42430347_42434072_46522000#1,veh_626,car_cautious,26.084686419870703,Right,0.0
142.0,42430371_42450426_46521993#2,veh_117,car_aggressive,15.730268656443808,Right,9745.468700441945
142.0,42430375_42440020_499172074#1,veh_137,truck_normal,13.717038155431823,Left,15606.81456182059
142.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,16.018695466877002,Left,14725.454456661793
142.0,42437358_42445916_reverse_-1272613981#1,veh_1030,car_normal,11.856326892296805,Right,2584.382688975692
142.0,42437358_42445916_reverse_-1272613981#1,veh_923,car_cautious,11.377987355671166,Right,4258.128341529809
142.0,42440020_42428321_499172074#6,veh_139,bus_normal,7.507461282250006,Left,22052.049972852255
142.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,13.230645119538814,Left,13214.365425104488
142.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0016080015500792163,Down,2624.5058291754062
142.0,42440453_42440452_569345535#0,veh_1499,car_normal,12.551254798563466,Left,0.0
142.0,42445020_42445018_1136391284#1,veh_614,car_cautious,12.046783876568078,Down,6876.006943158401
142.0,42445916_42437358_reverse_-1272613981#1,veh_1030,car_normal,11.856326892296805,Down,2584.382688975692
142.0,42445916_42437358_reverse_-1272613981#1,veh_923,car_cautious,11.377987355671166,Down,4258.128341529809
143.0,42428297_42439984_682360554#1,veh_783,car_normal,10.22569793094965,Down,2650.352609432424
143.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.551072836075127,Left,1591.9408929680174
143.0,42428308_42440001_420908137#0,veh_842,truck_cautious,6.5002397943288095,Right,21668.264645445855
143.0,42430338_42430342_127693103#4,veh_1526,car_cautious,19.76549033317716,Up,0.0
143.0,42430347_42434072_46522000#1,veh_626,car_cautious,26.645597389359025,Right,8636.734580421384
143.0,42430371_42450426_46521993#2,veh_117,car_aggressive,18.74046611837112,Right,17654.96580284303
143.0,42430375_42440020_499172074#1,veh_137,truck_normal,14.095552025540696,Left,24731.2566245606
143.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,17.68121988376141,Left,10447.110919659975
143.0,42437358_42445916_reverse_-1272613981#1,veh_1030,car_normal,11.764346874831265,Right,1902.6736497830468
143.0,42437358_42445916_reverse_-1272613981#1,veh_923,car_cautious,10.90061352970758,Right,0.0
143.0,42440020_42428321_499172074#6,veh_139,bus_normal,8.953834242071025,Left,33735.09112899552
143.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,12.859535475177974,Left,0.0
143.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
143.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,5.5914748958498235,Left,19640.214359893427
143.0,42445020_42445018_1136391284#1,veh_614,car_cautious,12.679814487974538,Down,4333.917128803443
143.0,42445916_42437358_reverse_-1272613981#1,veh_1030,car_normal,11.764346874831265,Down,1902.6736497830468
143.0,42445916_42437358_reverse_-1272613981#1,veh_923,car_cautious,10.90061352970758,Down,0.0
144.0,42428297_42439984_682360554#1,veh_783,car_normal,10.247516480461606,Down,2177.7293750984404
144.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.32570624487862,Left,1496.8091349284898
144.0,42428308_42440001_420908137#0,veh_842,truck_cautious,7.224129430130125,Right,21177.12381950316
144.0,42430338_42430342_127693103#4,veh_1526,car_cautious,15.754353275848558,Up,0.0
144.0,42430347_42434072_46522000#1,veh_626,car_cautious,26.81367294905707,Right,5964.3391397431715
144.0,42430371_42450426_46521993#2,veh_117,car_aggressive,21.491230157241233,Right,18871.848285601194
144.0,42430375_42440020_499172074#1,veh_137,truck_normal,13.617651380171033,Left,0.0
144.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,20.460070284237197,Left,18076.47876020318
144.0,42437358_42445916_reverse_-1272613981#1,veh_923,car_cautious,11.137139883141309,Right,2840.015211173482
144.0,42440020_42428321_499172074#6,veh_139,bus_normal,10.422679616720416,Left,38823.323077463705
144.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,13.280373556809783,Left,24832.627435793078
144.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
144.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,6.333469416573643,Down,19701.534301962438
144.0,42445020_42445018_1136391284#1,veh_614,car_cautious,9.426109944190276,Down,0.0
144.0,42445916_42437358_reverse_-1272613981#1,veh_923,car_cautious,11.137139883141309,Down,2840.015211173482
145.0,42428297_42439984_682360554#1,veh_783,car_normal,9.031681977827231,Down,0.0
145.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.277036109253913,Left,2016.7552315698438
145.0,42428308_42440001_420908137#0,veh_842,truck_cautious,7.791962312199175,Right,19871.472587200387
145.0,42430338_42430342_127693103#4,veh_1526,car_cautious,12.138015498241879,Up,0.0
145.0,42430347_42434072_46522000#1,veh_626,car_cautious,26.911046535670756,Right,5501.076156996523
145.0,42430371_42450426_46521993#2,veh_117,car_aggressive,23.235789595133184,Right,14414.548892550976
145.0,42430375_42440020_499172074#1,veh_137,truck_normal,14.177413957045378,Left,29882.78943758096
145.0,42435705_1815133244_812949647#5,veh_643,car_aggressive,22.4521146583511,Left,15327.200680875214
145.0,42437358_42445916_reverse_-1272613981#1,veh_923,car_cautious,11.360798714260845,Right,2826.179538178739
145.0,42440020_42428321_499172074#6,veh_139,bus_normal,11.25920478621265,Left,28709.949879413452
145.0,42440452_42430361_46538335#2,veh_1499,car_normal,12.150597880336724,Left,0.0
145.0,42440452_42430361_46538335#2,veh_192,truck_aggressive,12.966450803028703,Left,0.0
145.0,42440452_42440153_1352944235#1,veh_177,car_cautious,0.0,Down,2624.722222222222
145.0,42445020_42445018_1136391284#1,veh_41693,truck_cautious,7.23139456897974,Down,23664.688681665186
145.0,42445020_42445018_1136391284#1,veh_614,car_cautious,5.524385454654143,Down,0.0
145.0,42445916_42437358_reverse_-1272613981#1,veh_923,car_cautious,11.360798714260845,Down,2826.179538178739
146.0,42428297_42439984_682360554#1,veh_783,car_normal,4.615879207870585,Down,0.0
146.0,42428303_42435677_452322756#1,veh_597,car_cautious,11.47314768666789,Left,2755.9057399069634
146.0,42428308_42440001_420908137#0,veh_842,truck_cautious,8.445185812935234,Right,22336.063541567462
